Mitocheck_Phenotypic_Class,mean_average_precision,nlog10pvalue,q_value,nlog10qvalue,above_p_threshold,above_q_threshold,shuffled,feature_type
ADCCM,0.9971988830221757,0.4994231283727604,0.8601312278381915,0.06543528459566722,False,False,non-shuffled,CP
Anaphase,0.9994237288573844,0.1972015786532981,0.8601312278381915,0.06543528459566722,False,False,non-shuffled,CP
Apoptosis,0.9995616130363258,0.638747922386675,0.8601312278381915,0.06543528459566722,False,False,non-shuffled,CP
Binuclear,0.9987535695279814,0.18194085366710439,0.8601312278381915,0.06543528459566722,False,False,non-shuffled,CP
Elongated,0.9995015404972235,0.21535073671231963,0.8601312278381915,0.06543528459566722,False,False,non-shuffled,CP
Folded,0.9977790653426446,0.07136912640125635,0.9014877140844177,0.045040187678907176,False,False,non-shuffled,CP
Grape,0.9972880818256127,0.32602035123077283,0.8601312278381915,0.06543528459566722,False,False,non-shuffled,CP
Hole,0.9980916104528404,0.3230972624252863,0.8601312278381915,0.06543528459566722,False,False,non-shuffled,CP
Interphase,0.9981433081377881,0.2393611417574182,0.8601312278381915,0.06543528459566722,False,False,non-shuffled,CP
Large,0.9990865573394636,0.11221483262911124,0.8752715850486358,0.05785717030651858,False,False,non-shuffled,CP
Metaphase,0.9988206098618196,0.13864729247840912,0.8752715850486358,0.05785717030651858,False,False,non-shuffled,CP
MetaphaseAlignment,0.9994343054462046,0.2860259116253563,0.8601312278381915,0.06543528459566722,False,False,non-shuffled,CP
OutOfFocus,0.9998064745230025,1.0027212915843609,0.8601312278381915,0.06543528459566722,False,False,non-shuffled,CP
Polylobed,0.9991072154376865,0.49984760259006356,0.8601312278381915,0.06543528459566722,False,False,non-shuffled,CP
Prometaphase,0.9997014424930084,0.7722095835017273,0.8601312278381915,0.06543528459566722,False,False,non-shuffled,CP
SmallIrregular,0.9978672607173235,0.3161242650054631,0.8601312278381915,0.06543528459566722,False,False,non-shuffled,CP
neg_control,0.9980114859179596,0.030399615758890317,0.9323959624755926,0.0303996157588903,False,False,non-shuffled,CP
